session,mode,threads,repeat,elapsed_tag,elapsed_sec,jobs,total_ops,ops_per_job,iops,bw_kib_per_sec,bw_mib_per_sec,io_mib,run_msec,clat_avg_usec,clat_stdev_usec,cpu_usr_pct,cpu_sys_pct,ctx,log_file,job_name,fio_version,threads_started,groupid,err,pid,start_time,rw,ioengine,iodepth,bs_r_min,bs_r_max,bs_w_min,bs_w_max,bs_t_min,bs_t_max,op,bw_decimal_value,bw_decimal_unit,io_decimal_value,io_decimal_unit,run_bw_kib_per_sec,run_bw_mib_per_sec,run_io_mib,run_msec_min,run_msec_max,bw_stat_unit,bw_min_kib_per_sec,bw_max_kib_per_sec,bw_avg_kib_per_sec,bw_stdev_kib_per_sec,bw_per_pct,bw_samples,iops_min,iops_max,iops_avg,iops_stdev,iops_samples,cpu_majf,cpu_minf,total_read_ops,total_write_ops,total_trim_ops,total_sync_ops,short_read_ops,short_write_ops,short_trim_ops,short_sync_ops,dropped_read_ops,dropped_write_ops,dropped_trim_ops,dropped_sync_ops,latency_target,latency_window,latency_percentile,latency_depth,io_depth_1_pct,io_depth_2_pct,io_depth_4_pct,io_depth_8_pct,io_depth_16_pct,io_depth_32_pct,io_depth_ge64_pct,submit_0_pct,submit_4_pct,submit_8_pct,submit_16_pct,submit_32_pct,submit_64_pct,submit_ge64_pct,complete_0_pct,complete_4_pct,complete_8_pct,complete_16_pct,complete_32_pct,complete_64_pct,complete_ge64_pct,slat_unit,slat_min_usec,slat_max_usec,slat_avg_usec,slat_stdev_usec,slat_p01_usec,slat_p05_usec,slat_p10_usec,slat_p20_usec,slat_p30_usec,slat_p40_usec,slat_p50_usec,slat_p60_usec,slat_p70_usec,slat_p80_usec,slat_p90_usec,slat_p95_usec,slat_p99_usec,slat_p995_usec,slat_p999_usec,slat_p9995_usec,slat_p9999_usec,clat_unit,clat_min_usec,clat_max_usec,clat_avg_usec,clat_stdev_usec,clat_p01_usec,clat_p05_usec,clat_p10_usec,clat_p20_usec,clat_p30_usec,clat_p40_usec,clat_p50_usec,clat_p60_usec,clat_p70_usec,clat_p80_usec,clat_p90_usec,clat_p95_usec,clat_p99_usec,clat_p995_usec,clat_p999_usec,clat_p9995_usec,clat_p9999_usec,lat_unit,lat_min_usec,lat_max_usec,lat_avg_usec,lat_stdev_usec,lat_p01_usec,lat_p05_usec,lat_p10_usec,lat_p20_usec,lat_p30_usec,lat_p40_usec,lat_p50_usec,lat_p60_usec,lat_p70_usec,lat_p80_usec,lat_p90_usec,lat_p95_usec,lat_p99_usec,lat_p995_usec,lat_p999_usec,lat_p9995_usec,lat_p9999_usec
0312_201511,btrfs,1,10,00m_03s,3,1,8000,8000.000000,4895.000000,19558.400000,19.100000,31.200000,1634,13.020000,4.810000,94.000000,5.700000,187,log_0312_201511___btrfs________________01core___r10___00m_03s.log,create,3.41,1,0,0,851815,Fri Mar 13 03:09:15 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,20.100000,MB/s,31.200000,MiB,19558.400000,19.100000,31.200000,1634,1634,KiB/s,10832.000000,24431.000000,16615.670000,7023.460000,84.840000,3,2708.000000,6107.000000,4153.670000,1755.450000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,109.000000,13.020000,4.810000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,29.000000,34.000000,78.000000,98.000000,110.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,1,00m_02s,2,1,8000,8000.000000,4904.000000,19660.800000,19.200000,31.200000,1631,13.413770,4.195730,91.290000,8.100000,352,log_0312_201511___btrfs________________01core___r1___00m_02s.log,create,3.41,1,0,0,13169,Thu Mar 12 20:16:32 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,20.100000,MB/s,31.200000,MiB,19660.800000,19.200000,31.200000,1631,1631,KiB/s,10800.000000,24600.000000,16781.330000,7081.090000,85.530000,3,2700.000000,6150.000000,4195.330000,1770.270000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,nsec,8.734000,91.563000,13.413770,4.195730,9.408000,10.048000,10.432000,10.944000,11.328000,11.712000,12.224000,12.608000,13.248000,14.784000,17.536000,22.912000,28.800000,31.616000,45.312000,52.480000,91.648000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,2,00m_02s,2,1,8000,8000.000000,5018.000000,20070.400000,19.600000,31.200000,1594,13.154940,4.293390,92.590000,6.840000,343,log_0312_201511___btrfs________________01core___r2___00m_02s.log,create,3.41,1,0,0,106241,Thu Mar 12 21:02:15 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,20.600000,MB/s,31.200000,MiB,20070.400000,19.600000,31.200000,1594,1594,KiB/s,10984.000000,26192.000000,17672.000000,7767.750000,88.030000,3,2746.000000,6548.000000,4418.000000,1941.940000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,nsec,8.836000,82.141000,13.154940,4.293390,9.408000,9.920000,10.176000,10.688000,11.072000,11.456000,11.968000,12.352000,12.864000,14.656000,17.280000,22.656000,28.800000,34.048000,49.920000,62.720000,82.432000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,3,00m_02s,2,1,8000,8000.000000,4926.000000,19660.800000,19.200000,31.200000,1624,13.020000,4.930000,93.720000,5.670000,353,log_0312_201511___btrfs________________01core___r3___00m_02s.log,create,3.41,1,0,0,199023,Thu Mar 12 21:48:10 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,20.200000,MB/s,31.200000,MiB,19660.800000,19.200000,31.200000,1624,1624,KiB/s,10808.000000,24888.000000,16880.000000,7236.900000,85.670000,3,2702.000000,6222.000000,4220.000000,1809.220000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,179.000000,13.020000,4.930000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,29.000000,35.000000,70.000000,86.000000,180.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,4,00m_02s,2,1,8000,8000.000000,5301.000000,21196.800000,20.700000,31.200000,1509,12.670000,5.210000,92.710000,6.760000,174,log_0312_201511___btrfs________________01core___r4___00m_02s.log,create,3.41,1,0,0,292226,Thu Mar 12 22:34:06 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,21.700000,MB/s,31.200000,MiB,21196.800000,20.700000,31.200000,1509,1509,KiB/s,13144.000000,32672.000000,20880.000000,10376.610000,98.460000,3,3286.000000,8168.000000,5220.000000,2594.150000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,194.000000,12.670000,5.210000,10.000000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,15.000000,17.000000,22.000000,28.000000,31.000000,82.000000,108.000000,194.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,5,00m_02s,2,1,8000,8000.000000,5201.000000,20787.200000,20.300000,31.200000,1538,13.130000,5.380000,92.260000,7.290000,180,log_0312_201511___btrfs________________01core___r5___00m_02s.log,create,3.41,1,0,0,384776,Thu Mar 12 23:19:55 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,21.300000,MB/s,31.200000,MiB,20787.200000,20.300000,31.200000,1538,1538,KiB/s,12616.000000,29424.000000,19560.000000,8776.220000,94.010000,3,3154.000000,7356.000000,4890.000000,2194.050000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,201.000000,13.130000,5.380000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,30.000000,36.000000,80.000000,104.000000,202.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,6,00m_02s,2,1,8000,8000.000000,4968.000000,19865.600000,19.400000,31.200000,1610,13.030000,4.870000,90.120000,9.450000,350,log_0312_201511___btrfs________________01core___r6___00m_02s.log,create,3.41,1,0,0,477904,Fri Mar 13 00:06:00 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,20.400000,MB/s,31.200000,MiB,19865.600000,19.400000,31.200000,1610,1610,KiB/s,10920.000000,25512.000000,17234.670000,7491.370000,86.710000,3,2730.000000,6378.000000,4308.670000,1872.840000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,108.000000,13.030000,4.870000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,30.000000,36.000000,72.000000,87.000000,109.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,7,00m_02s,2,1,8000,8000.000000,5259.000000,20992.000000,20.500000,31.200000,1521,12.880000,5.140000,93.160000,6.320000,172,log_0312_201511___btrfs________________01core___r7___00m_02s.log,create,3.41,1,0,0,571577,Fri Mar 13 00:51:55 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,21.500000,MB/s,31.200000,MiB,20992.000000,20.500000,31.200000,1521,1521,KiB/s,12864.000000,31216.000000,20306.670000,9654.650000,96.520000,3,3216.000000,7804.000000,5076.670000,2413.660000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,199.000000,12.880000,5.140000,10.000000,10.000000,10.000000,11.000000,11.000000,12.000000,12.000000,12.000000,13.000000,15.000000,17.000000,23.000000,29.000000,34.000000,75.000000,101.000000,200.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,8,00m_02s,2,1,8000,8000.000000,5208.000000,20787.200000,20.300000,31.200000,1536,13.170000,4.700000,92.440000,7.100000,172,log_0312_201511___btrfs________________01core___r8___00m_02s.log,create,3.41,1,0,0,663971,Fri Mar 13 01:37:35 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,21.300000,MB/s,31.200000,MiB,20787.200000,20.300000,31.200000,1536,1536,KiB/s,12688.000000,29520.000000,19629.330000,8795.050000,94.220000,3,3172.000000,7380.000000,4907.330000,2198.760000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,113.000000,13.170000,4.700000,10.000000,10.000000,11.000000,11.000000,12.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,30.000000,35.000000,64.000000,87.000000,114.000000,,,,,,,,,,,,,,,,,,,,,,
0312_201511,btrfs,1,9,00m_03s,3,1,8000,8000.000000,4553.000000,18227.200000,17.800000,31.200000,1757,12.960000,4.560000,92.080000,7.520000,199,log_0312_201511___btrfs________________01core___r9___00m_03s.log,create,3.41,1,0,0,758993,Fri Mar 13 02:23:25 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,18.600000,MB/s,31.200000,MiB,18227.200000,17.800000,31.200000,1757,1757,KiB/s,10824.000000,19120.000000,14466.670000,4239.340000,79.430000,3,2706.000000,4780.000000,3616.670000,1059.830000,3,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,8.000000,183.000000,12.960000,4.560000,10.000000,10.000000,11.000000,11.000000,11.000000,12.000000,12.000000,13.000000,13.000000,15.000000,18.000000,23.000000,29.000000,34.000000,51.000000,63.000000,184.000000,,,,,,,,,,,,,,,,,,,,,,
