session,mode,threads,repeat,elapsed_tag,elapsed_sec,jobs,total_ops,ops_per_job,iops,bw_kib_per_sec,bw_mib_per_sec,io_mib,run_msec,clat_avg_usec,clat_stdev_usec,cpu_usr_pct,cpu_sys_pct,ctx,log_file,job_name,fio_version,threads_started,groupid,err,pid,start_time,rw,ioengine,iodepth,bs_r_min,bs_r_max,bs_w_min,bs_w_max,bs_t_min,bs_t_max,op,bw_decimal_value,bw_decimal_unit,io_decimal_value,io_decimal_unit,run_bw_kib_per_sec,run_bw_mib_per_sec,run_io_mib,run_msec_min,run_msec_max,bw_stat_unit,bw_min_kib_per_sec,bw_max_kib_per_sec,bw_avg_kib_per_sec,bw_stdev_kib_per_sec,bw_per_pct,bw_samples,iops_min,iops_max,iops_avg,iops_stdev,iops_samples,cpu_majf,cpu_minf,total_read_ops,total_write_ops,total_trim_ops,total_sync_ops,short_read_ops,short_write_ops,short_trim_ops,short_sync_ops,dropped_read_ops,dropped_write_ops,dropped_trim_ops,dropped_sync_ops,latency_target,latency_window,latency_percentile,latency_depth,io_depth_1_pct,io_depth_2_pct,io_depth_4_pct,io_depth_8_pct,io_depth_16_pct,io_depth_32_pct,io_depth_ge64_pct,submit_0_pct,submit_4_pct,submit_8_pct,submit_16_pct,submit_32_pct,submit_64_pct,submit_ge64_pct,complete_0_pct,complete_4_pct,complete_8_pct,complete_16_pct,complete_32_pct,complete_64_pct,complete_ge64_pct,slat_unit,slat_min_usec,slat_max_usec,slat_avg_usec,slat_stdev_usec,slat_p01_usec,slat_p05_usec,slat_p10_usec,slat_p20_usec,slat_p30_usec,slat_p40_usec,slat_p50_usec,slat_p60_usec,slat_p70_usec,slat_p80_usec,slat_p90_usec,slat_p95_usec,slat_p99_usec,slat_p995_usec,slat_p999_usec,slat_p9995_usec,slat_p9999_usec,clat_unit,clat_min_usec,clat_max_usec,clat_avg_usec,clat_stdev_usec,clat_p01_usec,clat_p05_usec,clat_p10_usec,clat_p20_usec,clat_p30_usec,clat_p40_usec,clat_p50_usec,clat_p60_usec,clat_p70_usec,clat_p80_usec,clat_p90_usec,clat_p95_usec,clat_p99_usec,clat_p995_usec,clat_p999_usec,clat_p9995_usec,clat_p9999_usec,lat_unit,lat_min_usec,lat_max_usec,lat_avg_usec,lat_stdev_usec,lat_p01_usec,lat_p05_usec,lat_p10_usec,lat_p20_usec,lat_p30_usec,lat_p40_usec,lat_p50_usec,lat_p60_usec,lat_p70_usec,lat_p80_usec,lat_p90_usec,lat_p95_usec,lat_p99_usec,lat_p995_usec,lat_p999_usec,lat_p9995_usec,lat_p9999_usec
0313_163640,base,1,10,00m_04s,4,1,8000,8000.000000,2534.000000,10137.600000,9.900000,31.200000,3156,113.730000,12.610000,56.770000,3.360000,24127,log_0313_163640___base_________________01core___r10___00m_04s.log,create,3.41,1,0,0,306317,Sat Mar 14 00:59:10 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.400000,MB/s,31.200000,MiB,10137.600000,9.900000,31.200000,3156,3156,KiB/s,5992.000000,15536.000000,9538.670000,3409.720000,94.070000,6,1498.000000,3884.000000,2384.670000,852.430000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,74.000000,350.000000,113.730000,12.610000,93.000000,104.000000,106.000000,109.000000,110.000000,111.000000,112.000000,114.000000,115.000000,117.000000,124.000000,131.000000,153.000000,206.000000,223.000000,281.000000,351.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,1,00m_03s,3,1,8000,8000.000000,2917.000000,11673.600000,11.400000,31.200000,2742,109.910000,13.070000,53.450000,3.830000,24110,log_0313_163640___base_________________01core___r1___00m_03s.log,create,3.41,1,0,0,18330,Fri Mar 13 16:36:44 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,11.900000,MB/s,31.200000,MiB,11673.600000,11.400000,31.200000,2742,2742,KiB/s,7272.000000,15736.000000,10702.400000,3223.100000,91.700000,5,1818.000000,3934.000000,2675.600000,805.780000,5,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,78.000000,464.000000,109.910000,13.070000,87.000000,98.000000,100.000000,104.000000,106.000000,108.000000,109.000000,111.000000,112.000000,114.000000,122.000000,128.000000,151.000000,200.000000,219.000000,233.000000,465.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,2,00m_03s,3,1,8000,8000.000000,2770.000000,11059.200000,10.800000,31.200000,2888,112.350000,12.730000,54.520000,3.570000,24100,log_0313_163640___base_________________01core___r2___00m_03s.log,create,3.41,1,0,0,29336,Fri Mar 13 17:33:07 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,11.300000,MB/s,31.200000,MiB,11059.200000,10.800000,31.200000,2888,2888,KiB/s,6528.000000,14304.000000,9736.000000,2934.760000,87.870000,5,1632.000000,3576.000000,2434.000000,733.690000,5,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,64.000000,351.000000,112.350000,12.730000,89.000000,100.000000,106.000000,108.000000,109.000000,110.000000,111.000000,112.000000,114.000000,116.000000,122.000000,128.000000,153.000000,208.000000,229.000000,306.000000,351.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,3,00m_03s,3,1,8000,8000.000000,2763.000000,11059.200000,10.800000,31.200000,2895,112.610000,12.370000,53.870000,3.840000,24096,log_0313_163640___base_________________01core___r3___00m_03s.log,create,3.41,1,0,0,40010,Fri Mar 13 18:29:50 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,11.300000,MB/s,31.200000,MiB,11059.200000,10.800000,31.200000,2895,2895,KiB/s,6576.000000,14256.000000,9681.600000,2912.090000,87.580000,5,1644.000000,3564.000000,2420.400000,728.020000,5,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,74.000000,343.000000,112.610000,12.370000,89.000000,101.000000,106.000000,108.000000,110.000000,111.000000,112.000000,113.000000,114.000000,117.000000,123.000000,128.000000,157.000000,204.000000,217.000000,239.000000,343.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,4,00m_03s,3,1,8000,8000.000000,2741.000000,10956.800000,10.700000,31.200000,2918,114.490000,13.990000,56.090000,4.560000,24276,log_0313_163640___base_________________01core___r4___00m_03s.log,create,3.41,1,0,0,106122,Fri Mar 13 19:25:51 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,11.200000,MB/s,31.200000,MiB,10956.800000,10.700000,31.200000,2918,2918,KiB/s,6504.000000,13752.000000,9568.000000,2808.090000,87.250000,5,1626.000000,3438.000000,2392.000000,702.020000,5,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,78.000000,375.000000,114.490000,13.990000,89.000000,100.000000,108.000000,110.000000,111.000000,112.000000,113.000000,114.000000,116.000000,118.000000,125.000000,135.000000,174.000000,208.000000,229.000000,255.000000,375.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,5,00m_03s,3,1,8000,8000.000000,2491.000000,9966.000000,9.732422,31.200000,3211,129.700000,26.680000,53.180000,6.320000,24324,log_0313_163640___base_________________01core___r5___00m_03s.log,create,3.41,1,0,0,192256,Fri Mar 13 20:19:36 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.200000,MB/s,31.200000,MiB,9966.000000,9.732422,31.200000,3211,3211,KiB/s,6368.000000,14120.000000,9184.000000,2836.260000,92.160000,6,1592.000000,3530.000000,2296.000000,709.060000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,57.000000,801.000000,129.700000,26.680000,61.000000,73.000000,120.000000,123.000000,124.000000,126.000000,127.000000,129.000000,133.000000,141.000000,159.000000,167.000000,202.000000,233.000000,269.000000,343.000000,799.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,6,00m_04s,4,1,8000,8000.000000,2586.000000,10342.400000,10.100000,31.200000,3093,134.310000,20.100000,49.130000,5.660000,24108,log_0313_163640___base_________________01core___r6___00m_04s.log,create,3.41,1,0,0,262940,Fri Mar 13 21:13:41 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.600000,MB/s,31.200000,MiB,10342.400000,10.100000,31.200000,3093,3093,KiB/s,6408.000000,15864.000000,10004.000000,3352.150000,96.690000,6,1602.000000,3966.000000,2501.000000,838.040000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,87.000000,790.000000,134.310000,20.100000,100.000000,114.000000,120.000000,123.000000,127.000000,129.000000,131.000000,133.000000,137.000000,145.000000,157.000000,167.000000,200.000000,237.000000,265.000000,273.000000,791.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,7,00m_04s,4,1,8000,8000.000000,2571.000000,10240.000000,10.000000,31.200000,3111,135.060000,20.620000,48.780000,5.920000,24084,log_0313_163640___base_________________01core___r7___00m_04s.log,create,3.41,1,0,0,273830,Fri Mar 13 22:10:01 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.500000,MB/s,31.200000,MiB,10240.000000,10.000000,31.200000,3111,3111,KiB/s,6576.000000,15824.000000,9904.000000,3302.320000,96.290000,6,1644.000000,3956.000000,2476.000000,825.580000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,86.000000,781.000000,135.060000,20.620000,100.000000,114.000000,121.000000,125.000000,127.000000,129.000000,131.000000,133.000000,137.000000,145.000000,157.000000,169.000000,202.000000,237.000000,281.000000,289.000000,783.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,8,00m_03s,3,1,8000,8000.000000,2493.000000,9975.000000,9.741211,31.200000,3208,133.150000,21.120000,53.290000,6.450000,24323,log_0313_163640___base_________________01core___r8___00m_03s.log,create,3.41,1,0,0,284650,Fri Mar 13 23:06:25 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.200000,MB/s,31.200000,MiB,9975.000000,9.741211,31.200000,3208,3208,KiB/s,6800.000000,14424.000000,9368.000000,2917.410000,93.910000,6,1700.000000,3606.000000,2342.000000,729.350000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,90.000000,820.000000,133.150000,21.120000,103.000000,115.000000,121.000000,123.000000,124.000000,125.000000,127.000000,129.000000,135.000000,143.000000,161.000000,167.000000,198.000000,233.000000,273.000000,322.000000,824.000000,,,,,,,,,,,,,,,,,,,,,,
0313_163640,base,1,9,00m_04s,4,1,8000,8000.000000,2551.000000,10199.040000,9.960000,31.200000,3136,113.930000,12.830000,57.640000,3.350000,24115,log_0313_163640___base_________________01core___r9___00m_04s.log,create,3.41,1,0,0,295462,Sat Mar 14 00:03:05 2026,read,filecreate,1,4096B,4096B,4096B,4096B,4096B,4096B,read,10.400000,MB/s,31.200000,MiB,10199.040000,9.960000,31.200000,3136,3136,KiB/s,6024.000000,15800.000000,9664.000000,3452.520000,94.710000,6,1506.000000,3950.000000,2416.000000,863.130000,6,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,usec,74.000000,351.000000,113.930000,12.830000,93.000000,104.000000,106.000000,109.000000,110.000000,111.000000,113.000000,114.000000,115.000000,118.000000,124.000000,133.000000,161.000000,206.000000,225.000000,247.000000,351.000000,,,,,,,,,,,,,,,,,,,,,,
